Movie_ID,Name,Year,User_ID,Rating
1756,Murder on the Orient Express,1974,6,3
175,Reservoir Dogs,1992,6,5
241,North by Northwest,1959,6,3
1765,First Kid,1996,6,3
886,Ray,2004,6,5
1798,Lethal Weapon,1987,6,3
1799,Die Hard 2: Die Harder,1990,6,3
468,The Matrix: Revolutions,2003,6,3
985,The Mummy,1999,6,4
1803,Alien: Resurrection: Collector's Edition,1997,6,3
3905,The Others,2001,6,3
1832,Rosemary's Baby,1968,6,3
1096,Harlem Nights,1989,6,3
3315,The Maltese Falcon,1941,6,3
3893,The People vs. Larry Flynt,1996,6,4
1843,Beverly Hills Cop III,1994,6,2
1865,Eternal Sunshine of the Spotless Mind,2004,6,3
3864,Batman Begins,2005,6,3
494,Monty Python's The Meaning of Life: Special Edition,1983,6,3
1144,Fried Green Tomatoes,1991,6,2
3320,About a Boy,2002,6,3
2953,Moonstruck,1987,6,4
1901,Cheech & Chong's Up in Smoke,1978,6,4
3860,Bruce Almighty,2003,6,3
295,Ace Ventura: When Nature Calls,1995,6,4
1905,Pirates of the Caribbean: The Curse of the Black Pearl,2003,6,4
3825,The Sum of All Fears,2002,6,3
1145,The Wedding Planner,2001,6,3
1918,The Alamo,2004,6,4
3269,The Longest Day,1962,6,4
3817,Stargate,1994,6,2
1939,The Amityville Horror,1979,6,3
2851,Falling Down,1993,6,4
501,Three Days of the Condor,1975,6,3
3798,The Sting,1973,6,2
1180,A Beautiful Mind,2001,6,3
3265,The Grifters,1990,6,3
1962,50 First Dates,2004,6,4
2942,Friends: Season 6,1999,6,3
3756,About Schmidt,2002,6,3
1971,Under Siege 2: Dark Territory,1995,6,3
1220,Man on Fire,2004,6,4
3226,Bringing Up Baby,1938,6,3
2000,Four Weddings and a Funeral,1994,6,3
3689,The Amityville Horror,2005,6,3
2001,Under Siege,1992,6,4
528,The Hitchhiker's Guide to the Galaxy,2005,6,4
1238,The Pope of Greenwich Village,1984,6,2
2913,Finding Neverland,2004,6,3
3648,Who Framed Roger Rabbit?: Special Edition,1988,6,3
2095,Liar Liar,1997,6,4
191,X2: X-Men United,2003,6,2
299,Bridget Jones's Diary,2001,6,3
2617,Ghost Ship,2002,6,3
2112,Identity,2003,6,3
1267,Dr. Dolittle 2,2001,6,3
2140,For the Boys,1991,6,4
3608,From the Earth to the Moon: The Signature Edition,1998,6,4
3153,Doctor Zhivago,1965,6,3
4472,Love Actually,2003,6,3
4432,The Italian Job,2003,6,3
2152,What Women Want,2000,6,3
564,Predator 2,1990,6,4
2874,Elf,2003,6,4
1307,S.W.A.T.,2003,6,1
4356,Road to Perdition,2002,6,4
2200,Collateral Damage,2002,6,3
3538,Beaches,1988,6,3
4306,The Sixth Sense,1999,6,4
3509,U2: Go Home: Live From Slane Castle,2002,6,4
2252,Bram Stoker's Dracula,1992,6,4
1314,Presumed Innocent,1990,6,3
4262,Sleepy Hollow,1999,6,4
3434,The Mothman Prophecies,2002,6,3
2269,People I Know,2003,6,3
3151,Napoleon Dynamite,2004,6,1
2865,Going My Way / Holiday Inn,1944,6,3
4149,Scooby-Doo 2: Monsters Unleashed,2004,6,4
4393,The Mask: Special Edition,1994,6,3
2290,Aladdin: Platinum Edition,1992,6,3
3541,History of the World: Part 1,1981,6,3
580,THX 1138: Special Edition,1971,6,3
1399,1984,1984,6,4
2340,Joe Versus the Volcano,1990,6,3
3423,Where Eagles Dare,1968,6,4
329,Dogma,1999,6,4
4043,Signs,2002,6,5
2342,Super Size Me,2004,6,3
3385,28 Days Later,2002,6,2
1406,Hook,1991,6,4
2360,Singin' in the Rain,1952,6,3
3938,Shrek 2,2004,6,4
3333,The Village,2004,6,4
2372,The Bourne Supremacy,2004,6,5
2862,The Silence of the Lambs,1991,6,4
658,Robin Hood: Prince of Thieves,1991,6,3
2778,Pink Floyd: Live at Pompeii: Director's Cut,1974,6,3
1428,The Recruit,2003,6,4
3925,The Matrix: Reloaded,2003,6,3
2965,The Seventh Seal,1957,6,4
2391,Along Came Polly,2004,6,4
3290,The Godfather,1974,6,5
3894,Surviving Christmas,2004,6,2
2452,Lord of the Rings: The Fellowship of the Ring,2001,6,5
1467,Three Musketeers,1993,6,5
2456,A Fistful of Dollars,1964,6,4
1476,Six Feet Under: Season 4,2004,6,1
30,Something's Gotta Give,2003,6,3
361,The Phantom of the Opera: Special Edition,2004,6,3
705,Major League,1989,6,3
3962,Finding Nemo (Widescreen),2003,6,4
3624,The Last Samurai,2003,6,4
4127,The Flintstones,1994,6,4
1542,Sleepless in Seattle,1993,6,3
3427,Men in Black II,2002,6,4
173,The Devil's Brigade,1968,6,4
4353,Curb Your Enthusiasm: Season 3,2002,6,1
197,Taking Lives,2004,6,3
1561,American Wedding,2003,6,3
2660,When Harry Met Sally,1989,6,3
723,Curly Sue,1991,6,3
1571,Poltergeist,1982,6,4
3730,Elizabeth,1998,6,4
3058,Escape from Alcatraz,1979,6,4
1615,The American President,1995,6,4
3936,End of Days,1999,6,4
2981,Saturday Night Live: The Best of Eddie Murphy,2000,6,3
445,Michael Collins,1996,6,3
788,Clerks,1994,6,3
1642,Casino: 10th Anniversary Edition,1995,6,4
1659,Grumpy Old Men,1993,6,3
4227,The Full Monty,1997,6,3
4266,The Passion of the Christ,2004,6,4
825,Bill Cosby: Himself,1983,6,3
3638,Bad Boys II,2003,6,4
3684,Goldfinger,1964,6,3
1693,Sphere,1998,6,3
3165,Dirty Rotten Scoundrels,1988,6,3
1709,Clash of the Titans,1981,6,4
3966,Friday Night Lights,2004,6,4
4100,Dinosaur,2000,6,3
457,Kill Bill: Vol. 2,2004,6,5
3198,The Addams Family,1991,6,3
872,Seven Samurai,1954,6,3
2782,Braveheart,1995,6,5
550,First Knight,1995,7,5
563,Jimmy Neutron: Boy Genius,2001,7,2
571,American Beauty,1999,7,4
607,Speed,1994,7,3
689,One True Thing,1998,7,5
636,Stir Crazy,1980,7,4
705,Major League,1989,7,3
3368,The Family Man,2000,7,4
708,The Perfect Storm,2000,7,3
3371,Whale Rider,2003,7,5
758,Mean Girls,2004,7,4
798,Jaws,1975,7,5
3290,The Godfather,1974,7,5
886,Ray,2004,7,4
3282,Sideways,2004,7,5
3254,Daredevil,2003,7,5
896,Dangerous Minds,1995,7,4
3222,Guarding Tess,1994,7,4
3320,About a Boy,2002,7,5
963,A Streetcar Named Desire,1951,7,5
3198,The Addams Family,1991,7,3
3342,The Day of the Jackal,1973,7,5
937,Fallen,1998,7,4
940,Hercules,1997,7,3
989,The Door in the Floor,2004,7,5
3197,Around the World in 80 Days,2004,7,3
1043,Outrageous Fortune,1987,7,4
1046,Uptown Girls,2003,7,3
1066,Superman: The Movie,1978,7,5
1102,Training Day,2001,7,2
1145,The Wedding Planner,2001,7,3
3015,The Final Cut,2004,7,5
1144,Fried Green Tomatoes,1991,7,5
2953,Moonstruck,1987,7,5
1148,For Your Eyes Only,1981,7,5
1180,A Beautiful Mind,2001,7,5
2890,Sleeping Beauty: Special Edition,1959,7,5
4472,Love Actually,2003,7,3
1202,National Lampoon's Vacation,1983,7,4
1220,Man on Fire,2004,7,5
4427,The West Wing: Season 3,2001,7,5
4393,The Mask: Special Edition,1994,7,4
4384,Dawn of the Dead,2004,7,1
1289,Look Who's Talking Too,1990,7,1
4369,Porky's,1981,7,3
2783,Hocus Pocus,1993,7,3
1307,S.W.A.T.,2003,7,5
2782,Braveheart,1995,7,5
1314,Presumed Innocent,1990,7,4
1428,The Recruit,2003,7,4
4306,The Sixth Sense,1999,7,5
2755,The Longest Yard,1974,7,3
1359,Funny Lady,1975,7,5
1406,Hook,1991,7,3
4266,The Passion of the Christ,2004,7,5
4256,Footloose: Special Collector's Edition,1984,7,4
4227,The Full Monty,1997,7,4
4216,Jurassic Park III,2001,7,3
4157,The Prince of Tides,1991,7,5
4135,The King and I,1956,7,4
1470,Bend It Like Beckham,2002,7,2
1482,Beyond Borders,2003,7,5
2743,The Pianist,2002,7,5
4123,Patch Adams,1998,7,4
4056,Planet of the Apes,2001,7,4
4043,Signs,2002,7,4
1542,Sleepless in Seattle,1993,7,4
1571,Poltergeist,1982,7,3
3925,The Matrix: Reloaded,2003,7,5
3905,The Others,2001,7,5
1589,Shoot to Kill,1988,7,4
2699,The Missing,2003,7,4
2660,When Harry Met Sally,1989,7,5
1578,Nine Months,1995,7,4
1645,The In-Laws,2003,7,4
3825,The Sum of All Fears,2002,7,5
1650,Nine to Five,1980,7,5
3782,Flatliners,1990,7,4
1659,Grumpy Old Men,1993,7,4
1661,The Bad News Bears,1976,7,3
3684,Goldfinger,1964,7,4
3650,War Games,1983,7,4
3680,Hackers,1995,7,3
1746,Bob Roberts,1994,7,3
1754,Sixteen Candles,1984,7,3
3624,The Last Samurai,2003,7,5
1810,U.S. Marshals,1998,7,2
3960,Pollyanna,1960,7,3
1795,MASH: Season 7,1978,7,5
3611,Man on the Moon,2000,7,3
1798,Lethal Weapon,1987,7,5
1832,Rosemary's Baby,1968,7,4
3541,History of the World: Part 1,1981,7,5
3538,Beaches,1988,7,5
4330,While You Were Sleeping,1995,7,5
3535,9 1/2 Weeks,1986,7,5
1843,Beverly Hills Cop III,1994,7,3
1865,Eternal Sunshine of the Spotless Mind,2004,7,5
3515,Jungle Fever,1991,7,3
3433,Forever Young,1992,7,4
1901,Cheech & Chong's Up in Smoke,1978,7,5
1902,Star Trek: The Motion Picture,1979,7,5
3414,Pocahontas,1995,7,3
1918,The Alamo,2004,7,5
1905,Pirates of the Caribbean: The Curse of the Black Pearl,2003,7,5
3165,Dirty Rotten Scoundrels,1988,7,4
1962,50 First Dates,2004,7,5
1972,Gentlemen Prefer Blondes,1953,7,4
2000,Four Weddings and a Funeral,1994,7,4
2009,The Talented Mr. Ripley,1999,7,4
2016,The Magdalene Sisters,2002,7,5
2095,Liar Liar,1997,7,5
2122,Being John Malkovich,1999,7,5
3364,The Parent Trap,1998,7,4
3216,Children of a Lesser God,1986,7,5
83,Silkwood,1983,7,5
2112,Identity,2003,7,3
3418,Sister Act 2: Back in the Habit,1993,7,3
2128,Rudy,1993,7,4
4345,Bowling for Columbine,2002,7,1
2139,The Color of Money,1986,7,4
3617,Death Becomes Her,1992,7,3
2152,What Women Want,2000,7,3
2153,Free Willy,1993,7,4
